Respondentnummer;variable;value
148;Ingevuld;2,31
1002;V3;1
1008;V3;1
1044;V3;1
116;V3;3
1198;V3;1
1206;V3;3
1211;V3;3
1353;V3;1
155;V3;3
1556;V3;1
1609;V3;1
1638;V3;4
1729;V3;1
1734;V3;1
1752;V3;1
1755;V3;3
1776;V3;1
1796;V3;1
1801;V3;1
1886;V3;1
2063;V3;1
2227;V3;6
2234;V3;1
2237;V3;1
224;V3;1
225;V3;3
2258;V3;7
2286;V3;1
2302;V3;1
2335;V3;6
248;V3;1
2504;V3;2
2533;V3;1
2538;V3;1
2566;V3;1
2576;V3;1
2577;V3;5
2602;V3;5
2604;V3;1
2636;V3;1
2655;V3;1
2696;V3;1
2727;V3;3
2784;V3;1
315;V3;1
322;V3;1
379;V3;1
440;V3;3
448;V3;1
464;V3;1
503;V3;1
644;V3;1
666;V3;3
67;V3;1
746;V3;2
816;V3;1
825;V3;1
829;V3;1
877;V3;6
912;V3;1
921;V3;2
973;V3;3
1050;V4;3
108;V4;4
1185;V4;4
1238;V4;4
1242;V4;3
1309;V4;4
1391;V4;6
1413;V4;4
1690;V4;3
1707;V4;98
1709;V4;4
1726;V4;6
1879;V4;4
1883;V4;6
1919;V4;3
2027;V4;7
2097;V4;4
2114;V4;4
2133;V4;4
2134;V4;7
2158;V4;4
2159;V4;7
2165;V4;4
2207;V4;5
2241;V4;4
2299;V4;4
2303;V4;5
2325;V4;4
2335;V4;4
2386;V4;7
2428;V4;4
2455;V4;4
2515;V4;7
2538;V4;4
2570;V4;7
2574;V4;7
2589;V4;4
2602;V4;2
2627;V4;3
2637;V4;7
2672;V4;4
2707;V4;7
2724;V4;7
2771;V4;4
478;V4;5
524;V4;6
536;V4;4
543;V4;5
566;V4;6
616;V4;4
650;V4;4
680;V4;5
681;V4;3
682;V4;3
746;V4;4
96;V4;6
1125;V6;4
1489;V6;2
1513;V6;2
1515;V6;4
1648;V6;4
2207;V6;5
2241;V6;5
2460;V6;4
2585;V6;5
2602;V6;5
2724;V6;5
2735;V6;5
543;V6;4
945;V6;4
981;V6;3
122;V5_5;0
148;V5_5;0
350;V5_5;0
799;V5_5;0
1327;V5_5;0
1555;V5_5;0
1627;V5_5;0
2108;V5_5;0
2120;V5_5;0
2295;V5_5;0
2359;V5_5;0
2387;V5_5;0
2392;V5_5;0
2425;V5_5;0
2474;V5_5;0
2494;V5_5;0
2570;V5_5;0
2574;V5_5;0
2602;V5_5;0
2631;V5_5;0
2741;V5_5;0
2781;V5_4;0
2781;V5_5;0
122;V5_2;1
148;V5_6;1
350;V5_2;1
1327;V5_2;1
1555;V5_4;1
2120;V5_2;1
2295;V5_1;1
2295;V5_2;1
2425;V5_1;1
2425;V5_2;1
2570;V5_4;1
2631;V5_4;1
2741;V5_1;1
2741;V5_2;1
2781;V5_1;1
2781;V5_2;1
